/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jade Goody.txt	10500	Jade Cerisa Lorraine Goody	was	an English celebrity	0	4	4	5	5	8	0.9999999999144422	Jade Cerisa Lorraine Goody was an English celebrity .	NNP NNP NNP NNP VBD DT JJ NN .	B-NP I-NP I-NP I-NP B-VP B-NP I-NP I-NP O	jade cerisa lorraine goody	be	an english celebrity
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jade Goody.txt	10523	Goody	raised over	£550	0	1	1	3	3	4	0.8564426207299629	Goody raised over £550 for her chosen charity , the NSPCC.	NNP VBD IN CD IN PRP$ VBN NN , DT NNP	B-NP B-VP B-PP B-NP B-PP B-NP I-NP I-NP O B-NP I-NP	goody	raise over	#
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jade Goody.txt	10524	Goody	published	her autobiography	5	6	6	7	7	9	0.3607725750870749	On 2 May 2006 , Goody published her autobiography titled Jade : My Autobiography and in June she launched her own fragrance , Shh ... Jade Goody .	IN CD NNP CD , NNP VBD PRP$ NN VBN NNP : PRP$ NNP CC IN NNP PRP VBD PRP$ JJ NN , NNP : NNP NNP .	B-PP B-NP I-NP I-NP O B-NP B-VP B-NP I-NP B-VP B-NP O B-NP I-NP B-PP B-PP B-NP B-NP B-VP B-NP I-NP I-NP O B-NP O B-NP I-NP O	goody	publish	her autobiography
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jade Goody.txt	10524	she	launched	her own fragrance	17	18	18	19	19	22	0.24575855658655463	On 2 May 2006 , Goody published her autobiography titled Jade : My Autobiography and in June she launched her own fragrance , Shh ... Jade Goody .	IN CD NNP CD , NNP VBD PRP$ NN VBN NNP : PRP$ NNP CC IN NNP PRP VBD PRP$ JJ NN , NNP : NNP NNP .	B-PP B-NP I-NP I-NP O B-NP B-VP B-NP I-NP B-VP B-NP O B-NP I-NP B-PP B-PP B-NP B-NP B-VP B-NP I-NP I-NP O B-NP O B-NP I-NP O	she	launch	her own fragrance
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jade Goody.txt	10525	It	was launched by	Superdrug	0	1	1	4	4	5	0.8489034501550581	It was launched by Superdrug in the summer of 2005 and became the store 's third best selling fragrance behind Kylie Minogue 's and Victoria Beckham 's .	PRP VBD VBN IN NNP IN DT NN IN CD CC VBD DT NN POS JJ JJS NN NN IN NNP NNP POS CC NNP NNP POS .	B-NP B-VP I-VP B-PP B-NP B-PP B-NP I-NP I-NP I-NP O B-VP B-NP I-NP I-NP I-NP I-NP I-NP I-NP B-PP B-NP I-NP I-NP O B-NP I-NP I-NP O	it	launch by	superdrug
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jade Goody.txt	10525	Superdrug	became	the store 's third best selling fragrance	4	5	11	12	12	19	0.8408106789157144	It was launched by Superdrug in the summer of 2005 and became the store 's third best selling fragrance behind Kylie Minogue 's and Victoria Beckham 's .	PRP VBD VBN IN NNP IN DT NN IN CD CC VBD DT NN POS JJ JJS NN NN IN NNP NNP POS CC NNP NNP POS .	B-NP B-VP I-VP B-PP B-NP B-PP B-NP I-NP I-NP I-NP O B-VP B-NP I-NP I-NP I-NP I-NP I-NP I-NP B-PP B-NP I-NP I-NP O B-NP I-NP I-NP O	superdrug	become	the store 's third best selling fragrance
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jade Goody.txt	10526	Goody	ranked	number 25	6	7	7	8	8	10	0.7458239936821157	Just before entering the house , Goody ranked number 25 in a poll by Heat for the most influential person in the world .	RB IN VBG DT NN , NNP VBD NN CD IN DT NN IN NNP IN DT JJS JJ NN IN DT NN .	B-PP I-PP B-VP B-NP I-NP O B-NP B-VP B-NP I-NP B-PP B-NP I-NP B-PP B-NP B-PP B-NP I-NP I-NP I-NP B-PP B-NP I-NP O	goody	rank	number #
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jade Goody.txt	10528	her boyfriend Jack Tweed	entered	the Big Brother House	12	16	16	17	17	21	0.8974176519000816	On 5 January 2007 Goody , her mother Jackiey Budden , and her boyfriend Jack Tweed entered the Big Brother House for Celebrity Big Brother 2007 .	IN CD NNP CD NNP , PRP$ NN NNP NNP , CC PRP$ NN NNP NNP VBD DT NNP NNP NNP IN NNP NNP NNP CD .	B-PP B-NP I-NP I-NP I-NP O B-NP I-NP I-NP I-NP O O B-NP I-NP I-NP I-NP B-VP B-NP I-NP I-NP I-NP B-PP B-NP I-NP I-NP I-NP O	her boyfriend jack tweed	enter	the big brother house
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jade Goody.txt	10529	her family	would stay in	the main house	13	15	15	18	18	21	0.09639345829523117	Upon entering the Big Brother House , Goody was informed that she and her family would stay in the main house in luxury , while the eight other remaining celebrities would become their servants and live in the house next door .	IN VBG DT NNP NNP NNP , NNP VBD VBN IN PRP CC PRP$ NN MD VB IN DT JJ NN IN NN , IN DT CD JJ VBG NNS MD VB PRP$ NNS CC VB IN DT NN JJ NN .	B-PP B-VP B-NP I-NP I-NP I-NP O B-NP B-VP I-VP B-SBAR B-NP O B-NP I-NP B-VP I-VP B-PP B-NP I-NP I-NP B-PP B-NP O B-SBAR B-NP I-NP I-NP I-NP I-NP B-VP I-VP B-NP I-NP O B-VP B-PP B-NP I-NP B-NP I-NP O	her family	stay in	the main house
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jade Goody.txt	10529	the eight other remaining celebrities	would become	their servants	25	30	30	32	32	34	0.4360875385062071	Upon entering the Big Brother House , Goody was informed that she and her family would stay in the main house in luxury , while the eight other remaining celebrities would become their servants and live in the house next door .	IN VBG DT NNP NNP NNP , NNP VBD VBN IN PRP CC PRP$ NN MD VB IN DT JJ NN IN NN , IN DT CD JJ VBG NNS MD VB PRP$ NNS CC VB IN DT NN JJ NN .	B-PP B-VP B-NP I-NP I-NP I-NP O B-NP B-VP I-VP B-SBAR B-NP O B-NP I-NP B-VP I-VP B-PP B-NP I-NP I-NP B-PP B-NP O B-SBAR B-NP I-NP I-NP I-NP I-NP B-VP I-VP B-NP I-NP O B-VP B-PP B-NP I-NP B-NP I-NP O	the # other remaining celebrities	become	their servants
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jade Goody.txt	10529	the eight other remaining celebrities	live in	the house	25	30	35	37	37	39	0.1373496060802925	Upon entering the Big Brother House , Goody was informed that she and her family would stay in the main house in luxury , while the eight other remaining celebrities would become their servants and live in the house next door .	IN VBG DT NNP NNP NNP , NNP VBD VBN IN PRP CC PRP$ NN MD VB IN DT JJ NN IN NN , IN DT CD JJ VBG NNS MD VB PRP$ NNS CC VB IN DT NN JJ NN .	B-PP B-VP B-NP I-NP I-NP I-NP O B-NP B-VP I-VP B-SBAR B-NP O B-NP I-NP B-VP I-VP B-PP B-NP I-NP I-NP B-PP B-NP O B-SBAR B-NP I-NP I-NP I-NP I-NP B-VP I-VP B-NP I-NP O B-VP B-PP B-NP I-NP B-NP I-NP O	the # other remaining celebrities	live in	the house
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jade Goody.txt	10530	the public	voted for	their favourite	15	17	17	19	19	21	0.03270002650533931	Goody was not informed that she and her new family faced an eviction in which the public voted for their favourite to keep in the house .	NNP VBD RB VBN IN PRP CC PRP$ JJ NN VBD DT NN IN WDT DT JJ VBD IN PRP$ JJ TO VB IN DT NN .	B-NP B-VP I-VP I-VP B-SBAR B-NP O B-NP I-NP I-NP B-VP B-NP I-NP B-PP B-NP B-NP I-NP B-VP B-PP B-NP I-NP B-VP I-VP B-PP B-NP I-NP O	the public	vote for	their favourite
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jade Goody.txt	10531	Her mother	was	the first	0	2	5	6	6	8	0.23967822041184542	Her mother , Jackiey , was the first to be evicted , on 10 January 2007 .	PRP$ NN , NNP , VBD DT JJ TO VB VBN , IN CD NNP CD .	B-NP I-NP O B-NP O B-VP B-NP I-NP B-VP I-VP I-VP O B-PP B-NP I-NP I-NP O	her mother	be	the first
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jade Goody.txt	10532	Goody	was accused of making	derogatory and racist comments	0	1	1	5	5	9	0.9523064431495036	Goody was accused of making derogatory and racist comments both about and to her fellow housemate Shilpa Shetty , which led to the Celebrity Big Brother racism controversy .	NNP VBD VBN IN VBG JJ CC JJ NNS DT RB CC TO PRP$ NN NN NNP NNP , WDT VBD TO DT NNP NNP NNP NN NN .	B-NP B-VP I-VP B-PP B-VP B-NP I-NP I-NP I-NP B-NP I-NP I-NP B-PP B-NP I-NP I-NP I-NP I-NP O B-NP B-VP B-PP B-NP I-NP I-NP I-NP I-NP I-NP O	goody	accuse of make	derogatory and racist comments
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jade Goody.txt	10532	her fellow housemate Shilpa Shetty	led to	the Celebrity Big Brother racism controversy	13	18	20	22	22	28	0.8836044078946987	Goody was accused of making derogatory and racist comments both about and to her fellow housemate Shilpa Shetty , which led to the Celebrity Big Brother racism controversy .	NNP VBD VBN IN VBG JJ CC JJ NNS DT RB CC TO PRP$ NN NN NNP NNP , WDT VBD TO DT NNP NNP NNP NN NN .	B-NP B-VP I-VP B-PP B-VP B-NP I-NP I-NP I-NP B-NP I-NP I-NP B-PP B-NP I-NP I-NP I-NP I-NP O B-NP B-VP B-PP B-NP I-NP I-NP I-NP I-NP I-NP O	her fellow housemate shilpa shetty	lead to	the celebrity big brother racism controversy
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jade Goody.txt	10533	she	was supporting	anti-bullying charity	3	4	4	6	6	8	0.2594361104830841	The fact that she was supporting anti-bullying charity Act Against Bullying during these events compounded her problems .	DT NN IN PRP VBD VBG JJ NN NNP IN NNP IN DT NNS VBD PRP NNS .	B-NP I-NP B-SBAR B-NP B-VP I-VP B-NP I-NP B-NP B-PP B-NP B-PP B-NP I-NP B-VP B-NP B-VP O	she	support	anti-bullying charity
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jade Goody.txt	10533	these events	compounded	her	12	14	14	15	15	16	0.3008289857266317	The fact that she was supporting anti-bullying charity Act Against Bullying during these events compounded her problems .	DT NN IN PRP VBD VBG JJ NN NNP IN NNP IN DT NNS VBD PRP NNS .	B-NP I-NP B-SBAR B-NP B-VP I-VP B-NP I-NP B-NP B-PP B-NP B-PP B-NP I-NP B-VP B-NP B-VP O	these events	compound	her
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jade Goody.txt	10534	A number of complaints	were received by	the British broadcasting regulator	0	4	4	7	7	11	0.9602705916429234	A number of complaints were received by the British broadcasting regulator Ofcom about the behaviour of Jo O'Meara , Danielle Lloyd and Goody towards Shetty .	DT NN IN NNS VBD VBN IN DT NNP NN NN NNP IN DT NN IN NNP NNP , NNP NNP CC NNP IN NNP .	B-NP I-NP I-NP I-NP B-VP I-VP B-PP B-NP I-NP I-NP I-NP B-NP B-PP B-NP I-NP I-NP I-NP I-NP O B-NP I-NP O B-NP B-PP B-NP O	a number of complaints	receive by	the british broadcasting regulator
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jade Goody.txt	10535	Ofcom	received a record of	more than 44,500 complaints	4	5	5	9	9	13	0.7664832999395456	By 20 January , Ofcom received a record of more than 44,500 complaints from members of the public , while Channel 4 received an additional 3,000 complaints .	IN CD NNP , NNP VBD DT NN IN JJR IN CD NNS IN NNS IN DT NN , IN NNP CD VBD DT JJ CD NNS .	B-PP B-NP I-NP O B-NP B-VP B-NP I-NP I-NP I-NP I-NP I-NP I-NP B-PP B-NP I-NP I-NP I-NP O B-SBAR B-NP I-NP B-VP B-NP I-NP I-NP I-NP O	ofcom	receive record of	more than # complaints
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jade Goody.txt	10535	Channel 4	received	an additional 3,000 complaints	20	22	22	23	23	27	0.8185036026813906	By 20 January , Ofcom received a record of more than 44,500 complaints from members of the public , while Channel 4 received an additional 3,000 complaints .	IN CD NNP , NNP VBD DT NN IN JJR IN CD NNS IN NNS IN DT NN , IN NNP CD VBD DT JJ CD NNS .	B-PP B-NP I-NP O B-NP B-VP B-NP I-NP I-NP I-NP I-NP I-NP I-NP B-PP B-NP I-NP I-NP I-NP O B-SBAR B-NP I-NP B-VP B-NP I-NP I-NP I-NP O	channel #	receive	an additional # complaints
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jade Goody.txt	10537	She	also referred to	Shetty	0	1	1	4	4	5	0.6798990734036806	She also referred to Shetty as ' Shilpa Fuckawalla' and ' Shilpa Poppadom ' .	PRP RB VBD TO NNP IN POS NNP NNP CC POS NNP NNP '' .	B-NP B-ADVP B-VP B-PP B-NP B-PP B-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP O	she	refer to	shetty
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jade Goody.txt	10538	I	could think of was	Indian food	17	18	18	22	22	24	6.479370873347598E-4	Goody said afterwards : " She is Indian , thinking of an Indian name and only thing I could think of was Indian food .	NNP VBD RB : `` PRP VBZ JJ , VBG IN DT JJ NN CC RB NN PRP MD VB IN VBD JJ NN .	B-NP B-VP B-ADVP O O B-NP B-VP B-ADJP O B-VP B-PP B-NP I-NP I-NP O B-ADVP B-NP B-NP B-VP I-VP B-NP B-VP B-NP I-NP O	i	think of be	indian food
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jade Goody.txt	10540	It	was not to offend	any Indian	0	1	1	5	5	7	0.4478805456444038	It was not to offend any Indian out there . "	PRP VBD RB TO VB DT NNP IN RB . ''	B-NP B-VP O B-VP I-VP B-NP I-NP B-ADVP I-ADVP O O	it	be to offend	any indian
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jade Goody.txt	10541	I	do n't think	there	6	7	7	10	10	11	9.779863827954335E-4	Cleo Rocos to Shetty : " I do n't think there 's anything racist in it . "	NNP NNP TO NNP : `` PRP VBP RB VB EX VBZ NN JJ IN PRP . ''	B-NP I-NP B-PP B-NP O O B-NP B-VP I-VP I-VP B-NP B-VP B-NP B-ADJP B-PP B-NP O O	i	think	there
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jade Goody.txt	10542	I	'm telling	you	6	7	7	9	9	10	0.05826916100415284	Shetty : " It is , I 'm telling you . "	NNP : `` PRP VBZ , PRP VBP VBG PRP . ''	B-NP O O B-NP B-VP O B-NP B-VP I-VP B-NP O O	i	tell	you
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jade Goody.txt	10543	Shetty	later changed	her opinion	1	2	2	4	4	6	0.024006789548027013	However Shetty later changed her opinion stating " I do n't feel there was any racial discrimination happening from Jade 's end ...	RB PRP RB VBD PRP$ NN VBG `` PRP VBP RB VB EX VBD DT JJ NN VBG IN NNP POS NN :	B-ADVP B-NP B-ADVP B-VP B-NP I-NP B-VP O B-NP B-VP I-VP I-VP B-NP B-VP B-NP I-NP I-NP B-VP B-PP B-NP I-NP I-NP O	shetty	change	her opinion
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jade Goody.txt	10543	I	do n't feel	there	8	9	9	12	12	13	3.9915551730602305E-4	However Shetty later changed her opinion stating " I do n't feel there was any racial discrimination happening from Jade 's end ...	RB PRP RB VBD PRP$ NN VBG `` PRP VBP RB VB EX VBD DT JJ NN VBG IN NNP POS NN :	B-ADVP B-NP B-ADVP B-VP B-NP I-NP B-VP O B-NP B-VP I-VP I-VP B-NP B-VP B-NP I-NP I-NP B-VP B-PP B-NP I-NP I-NP O	i	feel	there
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jade Goody.txt	10544	Shetty	said in	the show 's diary room	20	21	21	23	23	28	0.15998729207632395	I think that there are a lot of insecurities from her end but it 's definitely not racial , " Shetty said in the show 's diary room .	PRP VBP IN EX VBP DT NN IN NNS IN PRP$ NN CC PRP VBZ RB RB JJ , '' NNP VBD IN DT NN POS NN NN .	B-NP B-VP B-SBAR B-NP B-VP B-NP I-NP I-NP I-NP B-PP B-NP I-NP O B-NP B-VP B-ADVP O B-ADJP O O B-NP B-VP B-PP B-NP I-NP I-NP I-NP I-NP O	shetty	say in	the show 's diary room
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jade Goody.txt	10545	The incident	created	an international outcry	0	2	2	3	3	6	0.8761053252757875	The incident created an international outcry , gaining heavy coverage in the Indian media .	DT NN VBD DT JJ NN , VBG JJ NN IN DT JJ NNS .	B-NP I-NP B-VP B-NP I-NP I-NP O B-VP B-NP I-NP B-PP B-NP I-NP I-NP O	the incident	create	an international outcry
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jade Goody.txt	10546	British Chancellor of the Exchequer	was visiting India at	the time	4	9	11	15	15	17	0.8730015354054318	Gordon Brown , then British Chancellor of the Exchequer , who was visiting India at the time , condemned the programme on the grounds that he was against anything which might damage the perception that Britain is a country of tolerance .	NNP NNP , RB NNP NNP IN DT NNP , WP VBD VBG NNP IN DT NN , VBD DT NN IN DT NNS IN PRP VBD IN NN WDT MD VB DT NN IN NNP VBZ DT NN IN NN .	B-NP I-NP O B-ADVP B-NP I-NP I-NP I-NP I-NP O B-NP B-VP I-VP B-NP B-PP B-NP I-NP O B-VP B-NP I-NP B-PP B-NP I-NP B-SBAR B-NP B-VP B-PP B-NP B-NP B-VP I-VP B-NP I-NP B-SBAR B-NP B-VP B-NP I-NP I-NP I-NP O	british chancellor of the exchequer	visit indium at	the time
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jade Goody.txt	10546	India	condemned	the programme	13	14	18	19	19	21	0.6296601421872553	Gordon Brown , then British Chancellor of the Exchequer , who was visiting India at the time , condemned the programme on the grounds that he was against anything which might damage the perception that Britain is a country of tolerance .	NNP NNP , RB NNP NNP IN DT NNP , WP VBD VBG NNP IN DT NN , VBD DT NN IN DT NNS IN PRP VBD IN NN WDT MD VB DT NN IN NNP VBZ DT NN IN NN .	B-NP I-NP O B-ADVP B-NP I-NP I-NP I-NP I-NP O B-NP B-VP I-VP B-NP B-PP B-NP I-NP O B-VP B-NP I-NP B-PP B-NP I-NP B-SBAR B-NP B-VP B-PP B-NP B-NP B-VP I-VP B-NP I-NP B-SBAR B-NP B-VP B-NP I-NP I-NP I-NP O	india	condemn	the programme
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jade Goody.txt	10546	he	was against	anything	25	26	26	28	28	29	0.08556593953412292	Gordon Brown , then British Chancellor of the Exchequer , who was visiting India at the time , condemned the programme on the grounds that he was against anything which might damage the perception that Britain is a country of tolerance .	NNP NNP , RB NNP NNP IN DT NNP , WP VBD VBG NNP IN DT NN , VBD DT NN IN DT NNS IN PRP VBD IN NN WDT MD VB DT NN IN NNP VBZ DT NN IN NN .	B-NP I-NP O B-ADVP B-NP I-NP I-NP I-NP I-NP O B-NP B-VP I-VP B-NP B-PP B-NP I-NP O B-VP B-NP I-NP B-PP B-NP I-NP B-SBAR B-NP B-VP B-PP B-NP B-NP B-VP I-VP B-NP I-NP B-SBAR B-NP B-VP B-NP I-NP I-NP I-NP O	he	be against	anything
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jade Goody.txt	10546	anything	might damage	the perception	28	29	30	32	32	34	0.04008909831404011	Gordon Brown , then British Chancellor of the Exchequer , who was visiting India at the time , condemned the programme on the grounds that he was against anything which might damage the perception that Britain is a country of tolerance .	NNP NNP , RB NNP NNP IN DT NNP , WP VBD VBG NNP IN DT NN , VBD DT NN IN DT NNS IN PRP VBD IN NN WDT MD VB DT NN IN NNP VBZ DT NN IN NN .	B-NP I-NP O B-ADVP B-NP I-NP I-NP I-NP I-NP O B-NP B-VP I-VP B-NP B-PP B-NP I-NP O B-VP B-NP I-NP B-PP B-NP I-NP B-SBAR B-NP B-VP B-PP B-NP B-NP B-VP I-VP B-NP I-NP B-SBAR B-NP B-VP B-NP I-NP I-NP I-NP O	anything	damage	the perception
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jade Goody.txt	10546	Britain	is a country of	tolerance	35	36	36	40	40	41	0.7760395898130972	Gordon Brown , then British Chancellor of the Exchequer , who was visiting India at the time , condemned the programme on the grounds that he was against anything which might damage the perception that Britain is a country of tolerance .	NNP NNP , RB NNP NNP IN DT NNP , WP VBD VBG NNP IN DT NN , VBD DT NN IN DT NNS IN PRP VBD IN NN WDT MD VB DT NN IN NNP VBZ DT NN IN NN .	B-NP I-NP O B-ADVP B-NP I-NP I-NP I-NP I-NP O B-NP B-VP I-VP B-NP B-PP B-NP I-NP O B-VP B-NP I-NP B-PP B-NP I-NP B-SBAR B-NP B-VP B-PP B-NP B-NP B-VP I-VP B-NP I-NP B-SBAR B-NP B-VP B-NP I-NP I-NP I-NP O	britain	be country of	tolerance
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jade Goody.txt	10547	17 January Channel 4	defended	the programme	4	8	8	9	9	11	0.798090784409644	In a statement on 17 January Channel 4 defended the programme against charges " of overt racism or racial abuse " .	IN DT NN IN CD NNP NNP CD VBD DT NN IN NNS '' IN JJ NN CC JJ NN '' .	B-PP B-NP I-NP B-PP B-NP I-NP I-NP I-NP B-VP B-NP I-NP B-PP B-NP O B-PP B-NP I-NP O B-NP I-NP I-NP O	# january channel #	defend	the programme
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jade Goody.txt	10548	Goody	was evicted from	the Big Brother house	0	1	1	4	4	8	0.9851395303038705	Goody was evicted from the Big Brother house on 19 January 2007 receiving 82 % of the vote when up against Shetty .	NNP VBD VBN IN DT NNP NNP NN IN CD NNP CD VBG CD NN IN DT NN WRB RP IN NNP .	B-NP B-VP I-VP B-PP B-NP I-NP I-NP I-NP B-PP B-NP I-NP I-NP B-VP B-NP I-NP I-NP I-NP I-NP B-VP I-VP B-PP B-NP O	goody	evict from	the big brother house
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jade Goody.txt	10549	she	was evicted from	the Big Brother house	4	5	5	8	8	12	0.8097757930201669	On 19 January , she was evicted from the Big Brother house .	IN CD NNP , PRP VBD VBN IN DT NNP NNP NN .	B-PP B-NP I-NP O B-NP B-VP I-VP B-PP B-NP I-NP I-NP I-NP O	she	evict from	the big brother house
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jade Goody.txt	10550	the house	cancelled	a press conference	6	8	12	13	13	16	0.7675214565589192	Channel 4 banned crowds gathering outside the house to greet Goody and cancelled a press conference with her .	NNP CD VBN NNS VBG IN DT NN TO NNP NNP CC VBD DT NN NN IN PRP .	B-NP I-NP I-NP I-NP B-VP B-PP B-NP I-NP B-PP B-NP I-NP O B-VP B-NP I-NP I-NP B-PP B-NP O	the house	cancel	a press conference
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jade Goody.txt	10552	publicist Max Clifford	also said	"it	17	20	22	24	24	25	0.017417821042501797	Her much publicised return to the Big Brother house was branded " a terrible decision " by publicist Max Clifford , who also said "it looks like she has ruined a very lucrative career " .	PRP$ JJ JJ NN TO DT NNP NNP NN VBD VBN `` DT JJ NN '' IN NN NNP NNP , WP RB VBD PRP VBZ IN PRP VBZ VBN DT RB JJ NN '' .	B-NP I-NP I-NP I-NP B-PP B-NP I-NP I-NP I-NP B-VP I-VP O B-NP I-NP I-NP O B-PP B-NP I-NP I-NP O B-NP B-ADVP B-VP B-NP B-VP B-SBAR B-NP B-VP I-VP B-NP I-NP I-NP I-NP I-NP O	publicist max clifford	say	"it
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jade Goody.txt	10552	"it	looks like	she	24	25	25	27	27	28	5.806382515922784E-4	Her much publicised return to the Big Brother house was branded " a terrible decision " by publicist Max Clifford , who also said "it looks like she has ruined a very lucrative career " .	PRP$ JJ JJ NN TO DT NNP NNP NN VBD VBN `` DT JJ NN '' IN NN NNP NNP , WP RB VBD PRP VBZ IN PRP VBZ VBN DT RB JJ NN '' .	B-NP I-NP I-NP I-NP B-PP B-NP I-NP I-NP I-NP B-VP I-VP O B-NP I-NP I-NP O B-PP B-NP I-NP I-NP O B-NP B-ADVP B-VP B-NP B-VP B-SBAR B-NP B-VP I-VP B-NP I-NP I-NP I-NP I-NP O	"it	look like	she
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jade Goody.txt	10552	she	has ruined	a very lucrative career "	27	28	28	30	30	35	0.07518622368200026	Her much publicised return to the Big Brother house was branded " a terrible decision " by publicist Max Clifford , who also said "it looks like she has ruined a very lucrative career " .	PRP$ JJ JJ NN TO DT NNP NNP NN VBD VBN `` DT JJ NN '' IN NN NNP NNP , WP RB VBD PRP VBZ IN PRP VBZ VBN DT RB JJ NN '' .	B-NP I-NP I-NP I-NP B-PP B-NP I-NP I-NP I-NP B-VP I-VP O B-NP I-NP I-NP O B-PP B-NP I-NP I-NP O B-NP B-ADVP B-VP B-NP B-VP B-SBAR B-NP B-VP I-VP B-NP I-NP I-NP I-NP I-NP O	she	ruin	a very lucrative career
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jade Goody.txt	10553	Channel 4	received a rebuke from	Ofcom	1	3	3	7	7	8	0.9556703712207195	Ultimately Channel 4 received a rebuke from Ofcom over its handling of the Celebrity Big Brother race row that resulted in more than 54,000 complaints .	RB NNP CD VBD DT NN IN NNP IN PRP$ NN IN DT NNP NNP NNP NN NN WDT VBD IN JJR IN CD NNS .	B-ADVP B-NP I-NP B-VP B-NP I-NP B-PP B-NP B-PP B-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP B-NP B-VP B-PP B-NP I-NP I-NP I-NP O	channel #	receive rebuke from	ofcom
